ticker,effective_date,sim_datetime,price,value
SPX,2025-01-31,2025-01-31 13:05:00,6180.000000,33.769105
SPX,2025-01-31,2025-01-31 13:05:00,6182.500000,43.851026
SPX,2025-01-31,2025-01-31 13:05:00,6185.000000,51.519837
SPX,2025-01-31,2025-01-31 13:05:00,6187.500000,56.136072
SPX,2025-01-31,2025-01-31 13:05:00,6190.000000,57.373720
SPX,2025-01-31,2025-01-31 13:05:00,6192.500000,55.260321
SPX,2025-01-31,2025-01-31 13:05:00,6195.000000,50.170831
SPX,2025-01-31,2025-01-31 13:05:00,6197.500000,42.776443
SPX,2025-01-31,2025-01-31 13:10:00,6235.000000,28.299146
SPX,2025-01-31,2025-01-31 13:10:00,6232.500000,26.217622
SPX,2025-01-31,2025-01-31 13:10:00,6230.000000,22.732814
SPX,2025-01-31,2025-01-31 13:10:00,6227.500000,18.133533
SPX,2025-01-31,2025-01-31 13:10:00,6225.000000,12.867580
SPX,2025-01-31,2025-01-31 13:10:00,6222.500000,7.513718
SPX,2025-01-31,2025-01-31 13:10:00,6220.000000,2.732405
SPX,2025-01-31,2025-01-31 13:10:00,6217.500000,-0.802039
SPX,2025-01-31,2025-01-31 13:10:00,6215.000000,-2.481800
SPX,2025-01-31,2025-01-31 13:10:00,6212.500000,-1.849297
SPX,2025-01-31,2025-01-31 13:10:00,6210.000000,1.327165
SPX,2025-01-31,2025-01-31 13:10:00,6207.500000,6.997864
SPX,2025-01-31,2025-01-31 13:10:00,6205.000000,14.807115
SPX,2025-01-31,2025-01-31 13:10:00,6202.500000,24.107166
SPX,2025-01-31,2025-01-31 13:10:00,5905.000000,1.082306
SPX,2025-01-31,2025-01-31 13:10:00,5907.500000,1.252044
SPX,2025-01-31,2025-01-31 13:10:00,5910.000000,1.421170
SPX,2025-01-31,2025-01-31 13:10:00,5912.500000,1.631207
SPX,2025-01-31,2025-01-31 13:10:00,5915.000000,1.926946
SPX,2025-01-31,2025-01-31 13:10:00,5917.500000,2.354026
SPX,2025-01-31,2025-01-31 13:10:00,5920.000000,2.955836
SPX,2025-01-31,2025-01-31 13:10:00,5922.500000,3.769984
SPX,2025-01-31,2025-01-31 13:10:00,5925.000000,4.824636
SPX,2025-01-31,2025-01-31 13:10:00,5927.500000,6.135127
SPX,2025-01-31,2025-01-31 13:10:00,5930.000000,7.701199
SPX,2025-01-31,2025-01-31 13:10:00,5932.500000,9.505205
SPX,2025-01-31,2025-01-31 13:10:00,5935.000000,11.511535
SPX,2025-01-31,2025-01-31 13:10:00,5937.500000,13.667388
SPX,2025-01-31,2025-01-31 13:10:00,5940.000000,15.904904
SPX,2025-01-31,2025-01-31 13:10:00,5942.500000,18.144517
SPX,2025-01-31,2025-01-31 13:10:00,5945.000000,20.299246
SPX,2025-01-31,2025-01-31 13:10:00,5947.500000,22.279512
SPX,2025-01-31,2025-01-31 13:10:00,5950.000000,23.997959
SPX,2025-01-31,2025-01-31 13:10:00,5952.500000,25.373725
SPX,2025-01-31,2025-01-31 13:10:00,5955.000000,26.335624
SPX,2025-01-31,2025-01-31 13:10:00,5957.500000,26.823876
SPX,2025-01-31,2025-01-31 13:10:00,5960.000000,26.790263
SPX,2025-01-31,2025-01-31 13:10:00,5962.500000,26.196913
SPX,2025-01-31,2025-01-31 13:10:00,5965.000000,25.014249
SPX,2025-01-31,2025-01-31 13:10:00,5967.500000,23.218939
SPX,2025-01-31,2025-01-31 13:10:00,5970.000000,20.792781
SPX,2025-01-31,2025-01-31 13:10:00,5972.500000,17.723464
SPX,2025-01-31,2025-01-31 13:10:00,5975.000000,14.007868
SPX,2025-01-31,2025-01-31 13:10:00,5977.500000,9.658128
SPX,2025-01-31,2025-01-31 13:10:00,5980.000000,4.710169
SPX,2025-01-31,2025-01-31 13:10:00,5982.500000,-0.766269
SPX,2025-01-31,2025-01-31 13:10:00,5985.000000,-6.657641
SPX,2025-01-31,2025-01-31 13:10:00,5987.500000,-12.798609
SPX,2025-01-31,2025-01-31 13:10:00,5990.000000,-18.968239
SPX,2025-01-31,2025-01-31 13:10:00,5992.500000,-24.892359
SPX,2025-01-31,2025-01-31 13:10:00,5995.000000,-30.253542
SPX,2025-01-31,2025-01-31 13:10:00,5997.500000,-34.709233
SPX,2025-01-31,2025-01-31 13:10:00,6000.000000,-37.917328
SPX,2025-01-31,2025-01-31 13:10:00,6002.500000,-39.567239
SPX,2025-01-31,2025-01-31 13:10:00,6005.000000,-39.413231
SPX,2025-01-31,2025-01-31 13:10:00,6007.500000,-37.306036
SPX,2025-01-31,2025-01-31 13:10:00,6010.000000,-33.218391
SPX,2025-01-31,2025-01-31 13:10:00,6012.500000,-27.260554
SPX,2025-01-31,2025-01-31 13:10:00,6015.000000,-19.682849
SPX,2025-01-31,2025-01-31 13:10:00,6017.500000,-10.863833
SPX,2025-01-31,2025-01-31 13:10:00,6020.000000,-1.284569
SPX,2025-01-31,2025-01-31 13:10:00,6022.500000,8.508702
SPX,2025-01-31,2025-01-31 13:10:00,6025.000000,17.949548
SPX,2025-01-31,2025-01-31 13:10:00,6027.500000,26.499057
SPX,2025-01-31,2025-01-31 13:10:00,6030.000000,33.690928
SPX,2025-01-31,2025-01-31 13:10:00,6032.500000,39.168977
SPX,2025-01-31,2025-01-31 13:10:00,6035.000000,42.713092
SPX,2025-01-31,2025-01-31 13:10:00,6037.500000,44.251133
SPX,2025-01-31,2025-01-31 13:10:00,6040.000000,43.856027
SPX,2025-01-31,2025-01-31 13:10:00,6042.500000,41.729055
SPX,2025-01-31,2025-01-31 13:10:00,6045.000000,38.171878
SPX,2025-01-31,2025-01-31 13:10:00,6047.500000,33.551053
SPX,2025-01-31,2025-01-31 13:10:00,6050.000000,28.259472
SPX,2025-01-31,2025-01-31 13:10:00,6052.500000,22.679306
SPX,2025-01-31,2025-01-31 13:10:00,6055.000000,17.150607
SPX,2025-01-31,2025-01-31 13:10:00,6057.500000,11.948743
SPX,2025-01-31,2025-01-31 13:10:00,6060.000000,7.272509
SPX,2025-01-31,2025-01-31 13:10:00,6062.500000,3.243129
SPX,2025-01-31,2025-01-31 13:10:00,6065.000000,-0.087273
SPX,2025-01-31,2025-01-31 13:10:00,6067.500000,-2.720523
SPX,2025-01-31,2025-01-31 13:10:00,6070.000000,-4.694278
SPX,2025-01-31,2025-01-31 13:10:00,6072.500000,-6.064873
SPX,2025-01-31,2025-01-31 13:10:00,6075.000000,-6.894500
SPX,2025-01-31,2025-01-31 13:10:00,6077.500000,-7.244852
SPX,2025-01-31,2025-01-31 13:10:00,6080.000000,-7.177552
SPX,2025-01-31,2025-01-31 13:10:00,6082.500000,-6.759857
SPX,2025-01-31,2025-01-31 13:10:00,6085.000000,-6.072563
SPX,2025-01-31,2025-01-31 13:10:00,6087.500000,-5.216284
SPX,2025-01-31,2025-01-31 13:10:00,6090.000000,-4.312603
SPX,2025-01-31,2025-01-31 13:10:00,6092.500000,-3.497928
SPX,2025-01-31,2025-01-31 13:10:00,6095.000000,-2.909957
SPX,2025-01-31,2025-01-31 13:10:00,6097.500000,-2.668863
SPX,2025-01-31,2025-01-31 13:10:00,6100.000000,-2.856963
SPX,2025-01-31,2025-01-31 13:10:00,6102.500000,-3.501350
SPX,2025-01-31,2025-01-31 13:10:00,6105.000000,-4.563443
SPX,2025-01-31,2025-01-31 13:10:00,6107.500000,-5.938109
SPX,2025-01-31,2025-01-31 13:10:00,6110.000000,-7.463172
SPX,2025-01-31,2025-01-31 13:10:00,6112.500000,-8.938451
SPX,2025-01-31,2025-01-31 13:10:00,6115.000000,-10.152143
SPX,2025-01-31,2025-01-31 13:10:00,6117.500000,-10.911475
SPX,2025-01-31,2025-01-31 13:10:00,6120.000000,-11.073971
SPX,2025-01-31,2025-01-31 13:10:00,6122.500000,-10.575233
SPX,2025-01-31,2025-01-31 13:10:00,6125.000000,-9.448980
SPX,2025-01-31,2025-01-31 13:10:00,6127.500000,-7.835272
SPX,2025-01-31,2025-01-31 13:10:00,6130.000000,-5.973859
SPX,2025-01-31,2025-01-31 13:10:00,6132.500000,-4.181390
SPX,2025-01-31,2025-01-31 13:10:00,6135.000000,-2.813737
SPX,2025-01-31,2025-01-31 13:10:00,6137.500000,-2.217413
SPX,2025-01-31,2025-01-31 13:10:00,6140.000000,-2.676323
SPX,2025-01-31,2025-01-31 13:10:00,6142.500000,-4.361371
SPX,2025-01-31,2025-01-31 13:10:00,6145.000000,-7.290380
SPX,2025-01-31,2025-01-31 13:10:00,6147.500000,-11.304523
SPX,2025-01-31,2025-01-31 13:10:00,6150.000000,-16.065388
